file,category,key,scale,genre,bpm,bars,notes,description
Arps/By-Scale/G-minor/Gm_arp_updown.mid,arp,G,natural_minor,,124,4,64,G minor arpeggio — updown
Arps/By-Scale/Gs-minor/Gsm_arp_down.mid,arp,Gs,natural_minor,,124,4,64,Gs minor arpeggio — down
Arps/By-Scale/Gs-minor/Gsm_arp_octave_up.mid,arp,Gs,natural_minor,,124,4,64,Gs minor arpeggio — octave_up
Arps/By-Scale/Gs-minor/Gsm_arp_up.mid,arp,Gs,natural_minor,,124,4,64,Gs minor arpeggio — up
Arps/By-Scale/Gs-minor/Gsm_arp_updown.mid,arp,Gs,natural_minor,,124,4,64,Gs minor arpeggio — updown
Arrangement-Templates/01_Deep-House/Am_01_Deep-House_template_8bars.mid,template,A,natural_minor,01_Deep-House,122,8,444,01_Deep-House 8-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/02_Future-House/Am_02_Future-House_template_8bars.mid,template,A,natural_minor,02_Future-House,126,8,500,02_Future-House 8-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/03_Progressive-House/Am_03_Progressive-House_template_8bars.mid,template,A,natural_minor,03_Progressive-House,128,8,476,03_Progressive-House 8-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/04_Tech-House/Am_04_Tech-House_template_9bars.mid,template,A,natural_minor,04_Tech-House,126,9,499,04_Tech-House 9-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/05_Techno/Am_05_Techno_template_8bars.mid,template,A,natural_minor,05_Techno,130,8,508,05_Techno 8-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/06_Melodic-Techno/Am_06_Melodic-Techno_template_8bars.mid,template,A,natural_minor,06_Melodic-Techno,124,8,488,06_Melodic-Techno 8-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/07_Trance/Am_07_Trance_template_8bars.mid,template,A,natural_minor,07_Trance,138,8,500,07_Trance 8-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/08_Hardstyle/Am_08_Hardstyle_template_8bars.mid,template,A,natural_minor,08_Hardstyle,150,8,300,08_Hardstyle 8-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/09_Hardcore-Gabber/Am_09_Hardcore-Gabber_template_9bars.mid,template,A,natural_minor,09_Hardcore-Gabber,180,9,346,09_Hardcore-Gabber 9-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/10_Dubstep/Am_10_Dubstep_template_9bars.mid,template,A,natural_minor,10_Dubstep,140,9,301,10_Dubstep 9-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/11_Future-Bass/Am_11_Future-Bass_template_8bars.mid,template,A,natural_minor,11_Future-Bass,150,8,412,11_Future-Bass 8-bar template (chords/bass/arp/drums) — A minor
Arrangement-Templates/12_Lofi-Chill/Am_12_Lofi-Chill_template_8bars.mid,template,A,natural_minor,12_Lofi-Chill,85,8,292,12_Lofi-Chill 8-bar template (chords/bass/arp/drums) — A minor
Basslines/By-Genre/01_Deep-House/Am_01_Deep-House_bass_root_octave_8ths.mid,bassline,A,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — A minor
Basslines/By-Genre/01_Deep-House/Asm_01_Deep-House_bass_root_octave_8ths.mid,bassline,As,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — As minor
Basslines/By-Genre/01_Deep-House/Bm_01_Deep-House_bass_root_octave_8ths.mid,bassline,B,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — B minor
Basslines/By-Genre/01_Deep-House/Cm_01_Deep-House_bass_root_octave_8ths.mid,bassline,C,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — C minor
Basslines/By-Genre/01_Deep-House/Csm_01_Deep-House_bass_root_octave_8ths.mid,bassline,Cs,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — Cs minor
Basslines/By-Genre/01_Deep-House/Dm_01_Deep-House_bass_root_octave_8ths.mid,bassline,D,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — D minor
Basslines/By-Genre/01_Deep-House/Dsm_01_Deep-House_bass_root_octave_8ths.mid,bassline,Ds,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — Ds minor
Basslines/By-Genre/01_Deep-House/Em_01_Deep-House_bass_root_octave_8ths.mid,bassline,E,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — E minor
Basslines/By-Genre/01_Deep-House/Fm_01_Deep-House_bass_root_octave_8ths.mid,bassline,F,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — F minor
Basslines/By-Genre/01_Deep-House/Fsm_01_Deep-House_bass_root_octave_8ths.mid,bassline,Fs,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — Fs minor
Basslines/By-Genre/01_Deep-House/Gm_01_Deep-House_bass_root_octave_8ths.mid,bassline,G,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — G minor
Basslines/By-Genre/01_Deep-House/Gsm_01_Deep-House_bass_root_octave_8ths.mid,bassline,Gs,natural_minor,01_Deep-House,122,4,32,01_Deep-House bassline (root_octave_8ths) — Gs minor
Basslines/By-Genre/02_Future-House/Am_02_Future-House_bass_rolling_16ths.mid,bassline,A,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — A minor
Basslines/By-Genre/02_Future-House/Asm_02_Future-House_bass_rolling_16ths.mid,bassline,As,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — As minor
Basslines/By-Genre/02_Future-House/Bm_02_Future-House_bass_rolling_16ths.mid,bassline,B,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — B minor
Basslines/By-Genre/02_Future-House/Cm_02_Future-House_bass_rolling_16ths.mid,bassline,C,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — C minor
Basslines/By-Genre/02_Future-House/Csm_02_Future-House_bass_rolling_16ths.mid,bassline,Cs,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — Cs minor
Basslines/By-Genre/02_Future-House/Dm_02_Future-House_bass_rolling_16ths.mid,bassline,D,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — D minor
Basslines/By-Genre/02_Future-House/Dsm_02_Future-House_bass_rolling_16ths.mid,bassline,Ds,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — Ds minor
Basslines/By-Genre/02_Future-House/Em_02_Future-House_bass_rolling_16ths.mid,bassline,E,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — E minor
Basslines/By-Genre/02_Future-House/Fm_02_Future-House_bass_rolling_16ths.mid,bassline,F,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — F minor
Basslines/By-Genre/02_Future-House/Fsm_02_Future-House_bass_rolling_16ths.mid,bassline,Fs,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — Fs minor
Basslines/By-Genre/02_Future-House/Gm_02_Future-House_bass_rolling_16ths.mid,bassline,G,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — G minor
Basslines/By-Genre/02_Future-House/Gsm_02_Future-House_bass_rolling_16ths.mid,bassline,Gs,natural_minor,02_Future-House,126,4,64,02_Future-House bassline (rolling_16ths) — Gs minor
Basslines/By-Genre/03_Progressive-House/Am_03_Progressive-House_bass_rolling_16ths.mid,bassline,A,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — A minor
Basslines/By-Genre/03_Progressive-House/Asm_03_Progressive-House_bass_rolling_16ths.mid,bassline,As,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — As minor
Basslines/By-Genre/03_Progressive-House/Bm_03_Progressive-House_bass_rolling_16ths.mid,bassline,B,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — B minor
Basslines/By-Genre/03_Progressive-House/Cm_03_Progressive-House_bass_rolling_16ths.mid,bassline,C,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — C minor
Basslines/By-Genre/03_Progressive-House/Csm_03_Progressive-House_bass_rolling_16ths.mid,bassline,Cs,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — Cs minor
Basslines/By-Genre/03_Progressive-House/Dm_03_Progressive-House_bass_rolling_16ths.mid,bassline,D,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — D minor
Basslines/By-Genre/03_Progressive-House/Dsm_03_Progressive-House_bass_rolling_16ths.mid,bassline,Ds,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — Ds minor
Basslines/By-Genre/03_Progressive-House/Em_03_Progressive-House_bass_rolling_16ths.mid,bassline,E,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — E minor
Basslines/By-Genre/03_Progressive-House/Fm_03_Progressive-House_bass_rolling_16ths.mid,bassline,F,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — F minor
Basslines/By-Genre/03_Progressive-House/Fsm_03_Progressive-House_bass_rolling_16ths.mid,bassline,Fs,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — Fs minor
Basslines/By-Genre/03_Progressive-House/Gm_03_Progressive-House_bass_rolling_16ths.mid,bassline,G,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — G minor
Basslines/By-Genre/03_Progressive-House/Gsm_03_Progressive-House_bass_rolling_16ths.mid,bassline,Gs,natural_minor,03_Progressive-House,128,4,64,03_Progressive-House bassline (rolling_16ths) — Gs minor
Basslines/By-Genre/04_Tech-House/Am_04_Tech-House_bass_offbeat_8ths.mid,bassline,A,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — A minor
Basslines/By-Genre/04_Tech-House/Asm_04_Tech-House_bass_offbeat_8ths.mid,bassline,As,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — As minor
Basslines/By-Genre/04_Tech-House/Bm_04_Tech-House_bass_offbeat_8ths.mid,bassline,B,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — B minor
Basslines/By-Genre/04_Tech-House/Cm_04_Tech-House_bass_offbeat_8ths.mid,bassline,C,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — C minor
Basslines/By-Genre/04_Tech-House/Csm_04_Tech-House_bass_offbeat_8ths.mid,bassline,Cs,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — Cs minor
Basslines/By-Genre/04_Tech-House/Dm_04_Tech-House_bass_offbeat_8ths.mid,bassline,D,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — D minor
Basslines/By-Genre/04_Tech-House/Dsm_04_Tech-House_bass_offbeat_8ths.mid,bassline,Ds,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — Ds minor
Basslines/By-Genre/04_Tech-House/Em_04_Tech-House_bass_offbeat_8ths.mid,bassline,E,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — E minor
Basslines/By-Genre/04_Tech-House/Fm_04_Tech-House_bass_offbeat_8ths.mid,bassline,F,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — F minor
Basslines/By-Genre/04_Tech-House/Fsm_04_Tech-House_bass_offbeat_8ths.mid,bassline,Fs,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — Fs minor
Basslines/By-Genre/04_Tech-House/Gm_04_Tech-House_bass_offbeat_8ths.mid,bassline,G,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — G minor
Basslines/By-Genre/04_Tech-House/Gsm_04_Tech-House_bass_offbeat_8ths.mid,bassline,Gs,natural_minor,04_Tech-House,126,3,12,04_Tech-House bassline (offbeat_8ths) — Gs minor
Basslines/By-Genre/05_Techno/Am_05_Techno_bass_rolling_16ths.mid,bassline,A,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — A minor
Basslines/By-Genre/05_Techno/Asm_05_Techno_bass_rolling_16ths.mid,bassline,As,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — As minor
Basslines/By-Genre/05_Techno/Bm_05_Techno_bass_rolling_16ths.mid,bassline,B,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — B minor
Basslines/By-Genre/05_Techno/Cm_05_Techno_bass_rolling_16ths.mid,bassline,C,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — C minor
Basslines/By-Genre/05_Techno/Csm_05_Techno_bass_rolling_16ths.mid,bassline,Cs,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — Cs minor
Basslines/By-Genre/05_Techno/Dm_05_Techno_bass_rolling_16ths.mid,bassline,D,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — D minor
Basslines/By-Genre/05_Techno/Dsm_05_Techno_bass_rolling_16ths.mid,bassline,Ds,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — Ds minor
Basslines/By-Genre/05_Techno/Em_05_Techno_bass_rolling_16ths.mid,bassline,E,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — E minor
Basslines/By-Genre/05_Techno/Fm_05_Techno_bass_rolling_16ths.mid,bassline,F,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — F minor
Basslines/By-Genre/05_Techno/Fsm_05_Techno_bass_rolling_16ths.mid,bassline,Fs,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — Fs minor
Basslines/By-Genre/05_Techno/Gm_05_Techno_bass_rolling_16ths.mid,bassline,G,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — G minor
Basslines/By-Genre/05_Techno/Gsm_05_Techno_bass_rolling_16ths.mid,bassline,Gs,natural_minor,05_Techno,130,4,64,05_Techno bassline (rolling_16ths) — Gs minor
Basslines/By-Genre/06_Melodic-Techno/Am_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,A,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — A minor
Basslines/By-Genre/06_Melodic-Techno/Asm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,As,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — As minor
Basslines/By-Genre/06_Melodic-Techno/Bm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,B,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — B minor
Basslines/By-Genre/06_Melodic-Techno/Cm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,C,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — C minor
Basslines/By-Genre/06_Melodic-Techno/Csm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,Cs,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — Cs minor
Basslines/By-Genre/06_Melodic-Techno/Dm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,D,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — D minor
Basslines/By-Genre/06_Melodic-Techno/Dsm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,Ds,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — Ds minor
Basslines/By-Genre/06_Melodic-Techno/Em_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,E,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — E minor
Basslines/By-Genre/06_Melodic-Techno/Fm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,F,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — F minor
Basslines/By-Genre/06_Melodic-Techno/Fsm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,Fs,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — Fs minor
Basslines/By-Genre/06_Melodic-Techno/Gm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,G,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — G minor
Basslines/By-Genre/06_Melodic-Techno/Gsm_06_Melodic-Techno_bass_rolling_16ths.mid,bassline,Gs,natural_minor,06_Melodic-Techno,124,8,128,06_Melodic-Techno bassline (rolling_16ths) — Gs minor
Basslines/By-Genre/07_Trance/Am_07_Trance_bass_rolling_16ths.mid,bassline,A,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — A minor
Basslines/By-Genre/07_Trance/Asm_07_Trance_bass_rolling_16ths.mid,bassline,As,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — As minor
Basslines/By-Genre/07_Trance/Bm_07_Trance_bass_rolling_16ths.mid,bassline,B,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — B minor
Basslines/By-Genre/07_Trance/Cm_07_Trance_bass_rolling_16ths.mid,bassline,C,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — C minor
Basslines/By-Genre/07_Trance/Csm_07_Trance_bass_rolling_16ths.mid,bassline,Cs,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — Cs minor
Basslines/By-Genre/07_Trance/Dm_07_Trance_bass_rolling_16ths.mid,bassline,D,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — D minor
Basslines/By-Genre/07_Trance/Dsm_07_Trance_bass_rolling_16ths.mid,bassline,Ds,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — Ds minor
Basslines/By-Genre/07_Trance/Em_07_Trance_bass_rolling_16ths.mid,bassline,E,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — E minor
Basslines/By-Genre/07_Trance/Fm_07_Trance_bass_rolling_16ths.mid,bassline,F,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — F minor
Basslines/By-Genre/07_Trance/Fsm_07_Trance_bass_rolling_16ths.mid,bassline,Fs,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — Fs minor
Basslines/By-Genre/07_Trance/Gm_07_Trance_bass_rolling_16ths.mid,bassline,G,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — G minor
Basslines/By-Genre/07_Trance/Gsm_07_Trance_bass_rolling_16ths.mid,bassline,Gs,natural_minor,07_Trance,138,4,64,07_Trance bassline (rolling_16ths) — Gs minor
Basslines/By-Genre/08_Hardstyle/Am_08_Hardstyle_bass_hardstyle_offbeat.mid,bassline,A,natural_minor,08_Hardstyle,150,4,16,08_Hardstyle bassline (hardstyle_offbeat) — A minor
Basslines/By-Genre/08_Hardstyle/Asm_08_Hardstyle_bass_hardstyle_offbeat.mid,bassline,As,natural_minor,08_Hardstyle,150,4,16,08_Hardstyle bassline (hardstyle_offbeat) — As minor
Basslines/By-Genre/08_Hardstyle/Bm_08_Hardstyle_bass_hardstyle_offbeat.mid,bassline,B,natural_minor,08_Hardstyle,150,4,16,08_Hardstyle bassline (hardstyle_offbeat) — B minor
Basslines/By-Genre/08_Hardstyle/Cm_08_Hardstyle_bass_hardstyle_offbeat.mid,bassline,C,natural_minor,08_Hardstyle,150,4,16,08_Hardstyle bassline (hardstyle_offbeat) — C minor
Basslines/By-Genre/08_Hardstyle/Csm_08_Hardstyle_bass_hardstyle_offbeat.mid,bassline,Cs,natural_minor,08_Hardstyle,150,4,16,08_Hardstyle bassline (hardstyle_offbeat) — Cs minor
Basslines/By-Genre/08_Hardstyle/Dm_08_Hardstyle_bass_hardstyle_offbeat.mid,bassline,D,natural_minor,08_Hardstyle,150,4,16,08_Hardstyle bassline (hardstyle_offbeat) — D minor
Basslines/By-Genre/08_Hardstyle/Dsm_08_Hardstyle_bass_hardstyle_offbeat.mid,bassline,Ds,natural_minor,08_Hardstyle,150,4,16,08_Hardstyle bassline (hardstyle_offbeat) — Ds minor
